age,gender,country,highest_deg,code_experience,current_title,industry,company_size,annual_comp
30-34,Man,India,,,,,,
30-34,Man,Algeria,Master’s degree,1-3 years,,,,
18-21,Man,Egypt,Bachelor’s degree,1-3 years,,,,
55-59,Man,France,Some college/university study without earning a bachelor’s degree,10-20 years,Data Scientist,Online Service/Internet-based Services,0-49 employees,"25,000-29,999"
45-49,Man,India,Bachelor’s degree,5-10 years,,,,
18-21,Woman,India,Master’s degree,1-3 years,,,,
18-21,Man,India,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
30-34,Man,Germany,Bachelor’s degree,10-20 years,Software Engineer,Insurance/Risk Assessment,250-999 employees,"100,000-124,999"
70+,Man,Australia,Doctoral degree,20+ years,Research Scientist,Government/Public Service,"1000-9,999 employees","100,000-124,999"
22-24,Man,Other,Bachelor’s degree,3-5 years,,,,
55-59,Man,South Korea,Master’s degree,1-3 years,Other,Manufacturing/Fabrication,"10,000 or more employees",
55-59,Man,Egypt,Master’s degree,3-5 years,,,,
35-39,Man,India,Master’s degree,1-3 years,,,,
40-44,Man,United States of America,Doctoral degree,10-20 years,Developer Advocate,Computers/Technology,"1000-9,999 employees","200,000-249,999"
35-39,Man,Pakistan,Master’s degree,< 1 years,,,,
22-24,Man,Mexico,Bachelor’s degree,1-3 years,,,,
40-44,Man,United States of America,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"1000-9,999 employees","200,000-249,999"
30-34,Man,United States of America,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,50-249 employees,"150,000-199,999"
50-54,Man,Singapore,Doctoral degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,250-999 employees,"90,000-99,999"
25-29,Man,Italy,Master’s degree,5-10 years,Data Engineer,Computers/Technology,50-249 employees,"30,000-39,999"
30-34,Man,Taiwan,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0-49 employees,"30,000-39,999"
25-29,Woman,China,Master’s degree,< 1 years,,,,
35-39,Woman,India,Master’s degree,3-5 years,,,,
25-29,Man,Argentina,Master’s degree,1-3 years,,,,
35-39,Man,Turkey,Master’s degree,< 1 years,Currently not employed,,,
25-29,Man,Brazil,Master’s degree,3-5 years,Data Engineer,Other,"1000-9,999 employees","30,000-39,999"
18-21,Man,Nigeria,Master’s degree,1-3 years,,,,
60-69,Woman,Argentina,Master’s degree,1-3 years,Other,Medical/Pharmaceutical,0-49 employees,"3,000-3,999"
45-49,Man,United States of America,Master’s degree,3-5 years,,,,
35-39,Man,Chile,Bachelor’s degree,5-10 years,Data Scientist,Marketing/CRM,"1000-9,999 employees","50,000-59,999"
22-24,Prefer not to say,Singapore,Master’s degree,3-5 years,,,,
40-44,Man,Other,Master’s degree,10-20 years,,,,
30-34,Man,Other,Master’s degree,3-5 years,Machine Learning/ MLops Engineer,Accounting/Finance,"10,000 or more employees","125,000-149,999"
35-39,Man,Italy,Doctoral degree,10-20 years,Research Scientist,Academics/Education,"1000-9,999 employees","15,000-19,999"
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
25-29,Man,Japan,Master’s degree,3-5 years,Data Scientist,Computers/Technology,"1000-9,999 employees","50,000-59,999"
40-44,Man,India,Master’s degree,5-10 years,,,,
30-34,Man,Mexico,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
25-29,Man,India,I prefer not to answer,< 1 years,,,,
30-34,Man,India,Professional doctorate,10-20 years,,,,
22-24,Woman,Canada,Master’s degree,5-10 years,Machine Learning/ MLops Engineer,Computers/Technology,"1000-9,999 employees","5,000-7,499"
50-54,Man,Indonesia,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,50-249 employees,"10,000-14,999"
40-44,Man,India,I prefer not to answer,10-20 years,,,,
22-24,Man,India,Bachelor’s degree,3-5 years,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees","30,000-39,999"
35-39,Woman,Israel,Some college/university study without earning a bachelor’s degree,3-5 years,,,,
40-44,Man,Colombia,Master’s degree,1-3 years,Engineer (non-software),Computers/Technology,0-49 employees,"20,000-24,999"
22-24,Man,India,Master’s degree,I have never written code,,,,
18-21,Man,India,Master’s degree,1-3 years,,,,
35-39,Man,France,Doctoral degree,5-10 years,Research Scientist,Computers/Technology,50-249 employees,"3,000-3,999"
45-49,Man,Brazil,Bachelor’s degree,< 1 years,,,,
40-44,Man,Other,Master’s degree,I have never written code,Currently not employed,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Woman,Indonesia,Master’s degree,3-5 years,,,,
35-39,Man,Egypt,,,,,,
35-39,Man,Turkey,Master’s degree,1-3 years,,,,
30-34,Man,India,Doctoral degree,3-5 years,,,,
22-24,Man,Egypt,Bachelor’s degree,1-3 years,,,,
35-39,Man,India,Master’s degree,10-20 years,Data Scientist,Computers/Technology,0-49 employees,"25,000-29,999"
30-34,Man,Turkey,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,50-249 employees,
25-29,Woman,Pakistan,Doctoral degree,3-5 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
30-34,Man,Pakistan,Some college/university study without earning a bachelor’s degree,I have never written code,,,,
18-21,Man,Russia,Bachelor’s degree,1-3 years,,,,
40-44,Man,Pakistan,Bachelor’s degree,10-20 years,Software Engineer,Computers/Technology,50-249 employees,$0-999
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Woman,Other,I prefer not to answer,< 1 years,,,,
18-21,Man,Colombia,No formal education past high school,< 1 years,,,,
30-34,Man,India,Some college/university study without earning a bachelor’s degree,5-10 years,,,,
35-39,Woman,India,I prefer not to answer,< 1 years,,,,
22-24,Man,Nigeria,Master’s degree,< 1 years,,,,
22-24,Woman,China,I prefer not to answer,< 1 years,,,,
40-44,Man,Japan,No formal education past high school,< 1 years,Other,Manufacturing/Fabrication,"1000-9,999 employees","50,000-59,999"
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3-5 years,,,,
30-34,Woman,Canada,Bachelor’s degree,< 1 years,Currently not employed,,,
30-34,Man,India,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000 or more employees","3,000-3,999"
25-29,Man,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"10,000 or more employees","7,500-9,999"
25-29,Man,Russia,Master’s degree,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,1-3 years,,,,
22-24,Man,India,Master’s degree,< 1 years,,,,
40-44,Man,Other,No formal education past high school,< 1 years,Engineer (non-software),Energy/Mining,250-999 employees,"4,000-4,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
50-54,Man,Canada,Some college/university study without earning a bachelor’s degree,10-20 years,Software Engineer,Computers/Technology,"10,000 or more employees","100,000-124,999"
55-59,Woman,United States of America,Master’s degree,I have never written code,Teacher / professor,Academics/Education,50-249 employees,"25,000-29,999"
30-34,Man,Japan,Master’s degree,5-10 years,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees",$0-999
35-39,Man,United States of America,Master’s degree,I have never written code,Teacher / professor,Broadcasting/Communications,"10,000 or more employees","80,000-89,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Ethiopia,Master’s degree,3-5 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
22-24,Man,India,Master’s degree,3-5 years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
18-21,Woman,Egypt,,,,,,
22-24,Man,South Africa,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
30-34,Man,France,Master’s degree,5-10 years,,,,
25-29,Man,India,,,,,,
25-29,Woman,United States of America,Master’s degree,1-3 years,,,,
30-34,Man,India,I prefer not to answer,< 1 years,Currently not employed,,,
35-39,Man,India,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,"20,000-24,999"
